Response,LDR,SIR,Delay,Key,RT,index
0,20,19,200,49,0.368,1
1,11,10,189,52,0.46943,2
Response,LDR,SIR,Delay,Key,RT,index
1,20,18,197,49,1.7177,3
0,5,4,77,52,3.0453,15
0,7,3,12,52,1.7446,28
1,12,5,13,52,1.1311,27
1,15,14,83,49,0.9823,6
0,8,2,13,52,0.76085,31
1,12,6,136,52,2.2125,19
1,10,9,145,49,0.71907,5
1,6,3,6,49,0.22779,29
1,7,6,163,49,0.39398,7
0,10,7,27,49,0.0039141,20
1,12,10,81,49,0.043187,13
0,12,11,147,49,0.0016514,4
0,14,6,36,49,0.41125,23
1,6,5,180,49,0.71465,8
0,12,11,55,49,0.69281,9
1,20,19,200,52,0.56896,1
1,5,4,48,52,0.72225,17
1,5,4,124,52,2.8614,11
0,10,4,6,52,0.6322,32
1,8,6,169,52,0.20372,10
1,11,8,56,52,0.88635,18
0,12,9,76,49,7.6598,16
1,6,4,200,52,0.44941,12
1,15,8,18,49,0.72223,24
1,11,10,189,52,0.4494,2
1,15,10,27,49,0.67076,21
0,10,5,19,52,0.51252,25
0,6,5,73,49,0.43094,14
1,14,6,6,52,0.3443,30
1,5,2,17,49,0.69998,26
0,7,4,26,49,1.3029,22
